canal,tvg_id,categoria,url_original,status,resultado,url_final
TVMatic Fight (720p),TVMaticFight.br,Esportes,http://cdn.tvmatic.net/fight.m3u8,OFF,URLError,http://cdn.tvmatic.net/fight.m3u8
TVMatic Funny (720p),TVMaticFunny.br,Documentarios e Outros,http://cdn.tvmatic.net/funny.m3u8,OFF,URLError,http://cdn.tvmatic.net/funny.m3u8
TVMatic TikTok (720p),TVMaticTikTok.br,Documentarios e Outros,http://cdn.tvmatic.net/tiktok.m3u8,OFF,URLError,http://cdn.tvmatic.net/tiktok.m3u8
TVNBN (720p),TVNBN.br,Canais Abertos,https://cdn.jmvstream.com/w/LVW-8410/LVW8410_uiZOVm6vz1/playlist.m3u8,OK,200/200,https://cdn.jmvstream.com/w/LVW-8410/LVW8410_uiZOVm6vz1/playlist.m3u8
UMA TV,UMATV.br,Documentarios e Outros,https://umatv.nuvemplay.live/hls/stream.m3u8,OK,206/206,https://umatv.nuvemplay.live/hls/stream.m3u8
Unisul TV (720p),UnisulTV.br,Documentarios e Outros,https://sitetv.brasilstream.com.br/hls/sitetv/index.m3u8?token=,OK,206/206,https://sitetv.brasilstream.com.br/hls/sitetv/index.m3u8?token=
UniTV Porto Alegre (480p),UniTVPortoAlegre.br,Documentarios e Outros,http://unitvaovivo.ufrgs.br:8080/live.ogg,OFF,URLError,http://unitvaovivo.ufrgs.br:8080/live.ogg
VEJA+ TV (1080p),VEJAPlusTV.br,Noticias,https://gpa-vja.otteravision.com/gpa/vja/vja.m3u8,OK,206/206,https://gpa-vja.otteravision.com/gpa/vja/vja.m3u8
VRT Channel (720p),VRTChannel.br,Documentarios e Outros,https://sistemavrt.vrtchannel.tv.br:3473/stream/play.m3u8,OFF,URLError,https://sistemavrt.vrtchannel.tv.br:3473/stream/play.m3u8
WooHoo (720p),WooHoo.br,Documentarios e Outros,http://45.162.64.114/WOOHOO/index.m3u8,OK,206/206,http://45.162.64.114/WOOHOO/index.m3u8
